Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,Project Management,Computer Forensics Fundamentals,Technical Communication,AI ML,Software Engineering,Business Analysis,Communication skills,Data Science,Troubleshooting skills,Graphics Designing,Openness,Conscientousness,Extraversion,Agreeableness,Emotional_Range,Conversation,Openness to Change,Hedonism,Self-enhancement,Self-transcendence,tech_score,soft_skill_score,Role_encoded
1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.44774508635450605,0.594344492926608,0.5730865607175413,0.042013827906499684,0.7051448427497722,0.19693120222750227,0.37900219198889795,0.07808040507684968,0.28187753735638044,0.33307065823008886,0.7999999999999999,0.31856146074332425,6.0
1.0,0.8333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.1588967554401739,0.5501504902209036,0.4280433876776642,0.13906660349238692,0.5646506241858134,0.1559207096242791,0.4063382390409521,0.1146402609137134,0.31522665480503775,0.305612402534455,0.8125000000000001,0.20140770117938867,6.0
1.0,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.742772867820956,0.5641539284316505,0.38164748353751804,0.23206724036721949,0.48070047152228046,0.21897926505824059,0.4485127388599158,0.19952611730436878,0.39374452471986443,0.46516657538429956,0.7625000000000001,0.39712484451615193,6.0
1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.1300583822643735,0.6601994010005844,0.4687366179807139,0.18664936582635133,0.6102652708271303,0.29145457234016936,0.37727713673100016,0.2714633480854044,0.4318161314849537,0.443094490764022,0.75,0.38511668676244337,6.0
1.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6455479962323927,0.33707684242433256,0.2146736285219074,0.06386276301525691,0.4579966821270385,0.14041449502124387,0.3241791065367735,0.23307331198697304,0.4247489226028117,0.3298207933720474,0.7875,0.1290114420308368,6.0
1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.406618961235361,0.33769361416320254,0.22419808782388717,0.045242710004531395,0.46752660465841744,0.08953847099572809,0.3720110497232354,0.36041811471748575,0.4427667528798942,0.35745913138330254,0.775,0.12589181881641043,6.0
1.0,0.6666666666666666,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.5044578102189505,0.32799022567271807,0.17427424490516652,0.04045896538412033,0.5376116182684807,0.12116524156785813,0.29312034847933954,0.2902204130403908,0.4361345969790206,0.338960448320889,0.9875,0.10568844112441389,6.0
1.0,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.44774508635450605,0.594344492926608,0.5730865607175413,0.042013827906499684,0.7051448427497722,0.19693120222750227,0.37900219198889795,0.07808040507684968,0.28187753735638044,0.33307065823008886,1.0,0.31856146074332425,6.0
1.0,0.16666666666666666,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.1588967554401739,0.5501504902209036,0.4280433876776642,0.13906660349238692,0.5646506241858134,0.1559207096242791,0.4063382390409521,0.1146402609137134,0.31522665480503775,0.305612402534455,0.95,0.20140770117938867,6.0
1.0,0.0,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.742772867820956,0.5641539284316505,0.38164748353751804,0.23206724036721949,0.48070047152228046,0.21897926505824059,0.4485127388599158,0.19952611730436878,0.39374452471986443,0.46516657538429956,0.9375,0.39712484451615193,6.0
